standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
আমার বোন চিংড়ি মাছ পছন্দ করে,আর বইন চিংড়ি মাছ হছন্দ করে,আঁর বইন চিংড়ি মাছ পছন্দ করে,আমার বইন চিংড়ি মাছ পছন্দ করে,আর বইন চিংড়ি মাছ হছন্দ করে,আঁর বইন চিংড়ি মাছ পছন্দ করে,noyakhali
তোমার বাবা কি কাতলা মাছ ধরেছেন ,তোর আব্বা কি কাতলা মাছ ধরছে নি ,তোঁয়ার বাড়া কি কাতলা মাছ ধরছেল,তোর আব্বা কি কাতলা মাছ ধরছে,তোঁয়ার বাড়া কি কাতলা মাছ ধরছেল,তোর আব্বা কি কাতলা মাছ ধরছে,noyakhali
আমরা আজ শিং মাছ রান্না করবো,আইজ্জা আনরা শিং মাছ রান্নো করগুম,আঁরা আইজ শিং মাছ রান্ধুম,আঁরা আইজ শিং মাছ রান্না করমু,আঁরা আইজ শিং মাছ রান্না করমু,আইজ্জা আনরা শিং মাছ রান্নো করগুম,noyakhali
তারা কই মাছ ভাজছে,হেতারা কই মাছ বাজতেসে,হেতারা কই মাছ ভাজতাছে,হেতরা কই মাছ ভাজতেচে,হেতারা কই মাছ বাজতেসে,হেতারা কই মাছ ভাজতাছে,noyakhali
মাগুর মাছ পুকুরে থাকে,মাগুর মাছ পুকুরে থাকে,মাগুর মাছ ফুকুরত থাকে,মাগুর মাছ পুকুরে থাকি,মাগুর মাছ ফুকুরত থাকে,মাগুর মাছ পুকুরে থাকি,noyakhali
মেয়েটি বোয়াল মাছ দেখেছে  ,মাইয়া হিগ্গা বোয়াল মাছ দেখে,মাইয়াডা বোয়াল মাছ দেখছেল,মাইয়াডা বোয়াল মাছ দেখছে,মাইয়াডা বোয়াল মাছ দেখছে,মাইয়া হিগ্গা বোয়াল মাছ দেখে,noyakhali
দোকানদার তেলাপিয়া মাছ বিক্রি করছে  ,দোয়ানদার তেলাপিয়া মাছ বেচতেসে,দোকানদার তেলাফিয়া মাছ বেচতাছে,দ্যানদার তেলাপিয়া মাছ বেচতেচে,দোয়ানদার তেলাপিয়া মাছ বেচতেসে,দোকানদার তেলাফিয়া মাছ বেচতাছে,noyakhali
আমি পাঙ্গাশ মাছ খাই,আয়ে পাঙ্গাশ মাছ খাই,আঁই ফাঙ্গাশ মাছ খাই,আঁই পাঙ্গাশ মাছ খাই,আঁই ফাঙ্গাশ মাছ খাই,আঁই পাঙ্গাশ মাছ খাই,noyakhali
তিনি রূপচাঁদা মাছ এনেছেন,হেতে রুপচান্দা মাছ আনছে,হেতে রুপসাঁদা মাছ আনছেল,হেতে রূপচাঁদা মাছ আনছে,হেতে রূপচাঁদা মাছ আনছে,হেতে রুপচান্দা মাছ আনছে,noyakhali
তারা শোল মাছ ধরছে,হেতারা শোল মাছ ধরে,হেতারা শোল মাছ ধরতাছে,হেতরা শোল মাছ ধরতেচে,হেতারা শোল মাছ ধরে,হেতারা শোল মাছ ধরতাছে,noyakhali
করিম পুঁটি মাছ কিনেছে,করিম পুটি মাছ কিনছে,করিম ফুঁটি মাছ কিনছেল,করিম পুঁটি মাছ কিনছে,করিম ফুঁটি মাছ কিনছেল,করিম পুঁটি মাছ কিনছে,noyakhali
সে চিংড়ি মাছের ঝোল রান্না করছে,হেতে চিংড়ি মাছর ঝোল রান্নো কইত্তাসে,হেতে চিংড়ি মাছের ঝোল রান্ধতাছে,হেতে চিংড়ি মাছর ঝোল হাকাইতেচে,হেতে চিংড়ি মাছর ঝোল হাকাইতেচে,হেতে চিংড়ি মাছর ঝোল রান্নো কইত্তাসে,noyakhali
তুমি কি মলা মাছ খেয়েছো ,তুই কি মলা মাছ খাইসোস নি ,তুই কি মলা মাছ খাইছছ,তুঁই মলা মাছ খাইছ নি,তুই কি মলা মাছ খাইসোস নি ,তুই কি মলা মাছ খাইছছ,noyakhali
